short,original

/twitter,https://twitter.com/abernier_
/github,https://github.com/abernier
/linkedin,https://www.linkedin.com/in/antoine-bernier-bb292916/
/edin,https://www.linkedin.com/in/antoine-bernier-bb292916/
/discord,https://discord.com/users/abernier#6451
/behance,https://www.behance.net/abernier
/malt,https://www.malt.fr/profile/abernier
/comet,https://app.comet.co/freelancer/profile/P27Zr1N534
/stackoverflow,https://stackoverflow.com/users/133327/abernier
/slides,https://slides.com/abernier

/cartierouge45,https://cartierouge45-7gkoslec5q-od.a.run.app/

/loreal,https://lss-front-46rqfv7eva-od.a.run.app/
/lss,https://lss-front-46rqfv7eva-od.a.run.app/

/shorty,https://github.com/abernier/shorty
/shorty-domain,https://github.com/abernier/abernier/blob/main/articles/shorty-domain.md

/portfolio,https://abernier.github.io/portfolio

/films,https://drive.google.com/drive/folders/0BwQNm5fx5y30a0dzdWRyMk1YT1E?resourcekey=0-InZWpYVFOF3bgPDXJAn1Vw&usp=sharing
